year/month	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	Mean		year	AnnualMean
1998- 7	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	6.6	50	63	0	0	0	0	0	0	0	0	0	0	0	0	0	3.929032258			
1998- 8	0	16	0	0	1.6	0	0	0	0	0	0	0	0	0	26.6	35.5	11.6	1.6	0	0	1.7	0	0	0	0	0	0	0	0	0	0	3.051612903			
1998- 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	30	0	0	9	0	0.6	0	0	0	1.34516129			
1998-10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	19.2	26.4	0	14.9	24.1	20.2	43.1	5.032258065			
1998-11	1.3	9.4	0	0	0	114	33.2	33.2	10.1	3.8	7.6	0	8.7	0	0.9	0	11.8	0	17.6	0	0	0.5	195	1.8	8.2	0.4	0	0	0	19.6	0	15.39032258			
1998-12	45	4.8	0	25	31	2.5	60	2.7	3.4	1.9	40.1	16.2	3.4	3.1	1.7	0	0.6	28.7	44.3	0	25.5	0	0	0	0	0	11.5	11.7	8.7	13.3	0	12.42258065			
1999- 1	6	10	24.7	3.6	4.5	24.4	0	0	0	0	0	0	0	0	0	12.5	0	24.7	1.8	17.7	0	0	0	0	0	0	0	0	0	0	0	4.190322581			
1999- 2	68.6	31.5	0	2.2	0	20.1	0	25.2	5.7	0	0	0	0	0	0	0	0	22	0	0	38.6	0	0	0	0	0	0	0	0	0	0	6.9			
1999- 3	0	0	0	0	0	0	0	0	11.4	0	0	18	0	85.4	0	1.6	2.2	8.6	0	0	1.7	0	0	0	0	0	0	17.7	43.5	10	76	8.906451613			
1999- 4	16.4	52.2	4.1	14.3	23.3	34.6	15	3.4	3	1.3	0	0	0	0	0	0	0	0	0	3.5	0.6	0	0	0	0	0	0	0	0	0	0	5.538709677			
1999- 5	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	1.2	13.1	0	9.6	33.5	0	0	0	0	0	0	0	2.3	10	0	0	2.316129032			
1999- 6	0	0	2.7	0	0	8.7	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	28.8	0	0	0	1.419354839			
1999- 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0.012903226			
1999- 8	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061290323			
